Timestamp,Name,Match,Team,Color,Commemts,Notes,Defensive skill,Victim of defense,Penalty,Brick for 20+ sec,auton motion,auton bottom port,auton outer port,auton inner port,bottom port,outer port,inner port,rotate control panel,position control panel,park under shield,hang under shield,"Leveled by this Bot, (Levelor)","Leveled by other Bot, (Levelee)",# 14 Metric
3/7/2020 9:40:36,Estrella,5,2974,B,,1,0,0,0,0,1,0,2,0,0,8,3,0,0,0,1,1,0,0
3/7/2020 10:35:03,E,12,2974,B,Spin around during auto. Can only shot from one location,-1,0,0,0,0,1,0,0,0,0,8,4,0,0,0,0,1,0,0
3/7/2020 11:44:01,L,20,2974,R,,0,0,0,-1,0,0,0,1,0,0,6,0,0,0,1,0,0,0,0
3/7/2020 13:55:40,L,30,2974,R,Got stuck to alliance bot,-1,2,1,0,0,1,0,3,0,0,5,0,0,0,0,0,0,0,0
3/7/2020 15:00:52,L,39,2974,R,,0,1,0,0,0,1,0,2,0,0,5,0,0,0,0,1,0,0,0
3/7/2020 17:19:43,L,56,2974,B,,0,0,1,0,0,1,0,0,0,0,8,0,0,0,0,1,1,0,0
3/7/2020 17:55:25,L,61,2974,R,Shot smoothly,1,0,0,0,0,1,0,5,0,0,14,0,0,0,0,1,1,0,0
3/8/2020 10:27:18,A,76,2974,R,Didn’t do cp,0,2,1,0,0,1,0,3,0,0,11,0,0,0,0,1,1,0,0
3/7/2020 9:25:16,Estrella,3,2040,B,Hit the wall a lot,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
43897.42944,L,10,2040,R,Shot outside,-1,1,0,-2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
43897.49802,L,22,2040,B,Switched to defense,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/7/2020 15:01:43,A,39,2040,B,Aggressive defense,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3/7/2020 16:00:42,Yoyo,47,2040,R,Long outside shot; spit balls out of transfer.,-1,0,0,-2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
3/7/2020 16:58:56,L,54,2040,R,,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3/7/2020 18:11:28,Eagle Robotics,62,2040,B,"Slow robot, balls fall out of intake",-1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
3/8/2020 9:26:07,A,68,2040,R,,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3/8/2020 10:59:18,A,81,2040,R,,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3/7/2020 9:48:13,A,6,2048,R,,-1,0,0,0,-1,1,0,0,0,0,3,0,0,0,0,0,0,0,0
3/7/2020 10:32:40,E,12,2048,B,Spent lots of time trying to pick a ball up,-1,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0
3/7/2020 11:57:59,A,22,2048,R,Went to blue rendezvous point,-1,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3/7/2020 14:46:23,Yoyo,37,2048,B,Can shoot from far away.,1,0,0,0,0,1,3,0,0,5,2,0,0,0,1,0,0,0,0
3/7/2020 15:35:32,A,44,2048,B,,-1,0,0,0,0,1,3,0,0,4,0,0,0,0,1,0,0,0,0
3/7/2020 16:42:04,A,52,2048,B,,0,0,0,0,0,1,3,0,0,3,0,0,0,0,1,0,0,0,0
3/8/2020 9:24:36,L,67,2048,B,,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
3/8/2020 10:34:56,A,77,2048,R,,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
3/7/2020 10:04:13,L,8,2973,R,Couldn't move well,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/7/2020 11:10:10,L,16,2973,R,Not excellent defense,-1,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/7/2020 13:24:38,A,26,2973,B,,1,2,2,-2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3/7/2020 14:18:43,A,33,2973,B,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/7/2020 16:08:55,Yoyo,48,2973,R,,0,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
3/7/2020 16:52:50,L,53,2973,B,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3/7/2020 17:49:15,Rawe,60,2973,R,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/8/2020 10:05:18,A,73,2973,R,,0,2,0,-1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
3/7/2020 9:22:41,Alex,3,3002,R,Bricked for sometime and weird collector,-1,0,0,0,-1,1,0,0,0,0,2,0,0,0,1,0,0,1,0
3/7/2020 11:17:03,Alex,16,3002,B,Weak against defense,-1,0,2,0,0,1,0,2,0,3,2,0,0,0,0,0,0,0,0
